Имя пользователя,Дата комментария,Текст комментария,Дата ответа,Текст ответа,Оценка,Статус
Zhazel Dossim,2024-09-20,"Врач маммолог Исатаева Нуризат Абдинуровнаға алғыс айтамын!Білмеген,түсінбеген жағдайларды түсіндіріп,болмаса қасыма еріп көрсетіп отырды.Еңбегіңіздің жемісін көре беріңіз❤️",2024-09-20,"Құрметті Пациент,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емхана…",5,1
MoRGy,2024-09-20,"Тут пишут про развод на анализы. Это правда. Сначала выписывают одни анализы на 7000, потом другие на 28000 Гастроэнтеролог предусмотрительный, не выписывает лечение, пока не сдашь все анализы, причём на них даже не смотрит. А аллерголог выписала лечение и потом отправила на анализы на 28000т. В следующий раз наверное аллерголог такой ошибки не сделает 0000",2024-09-20,"Уважаемый MoRGy,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправд…",1,0
Владимир Карпенко,2024-09-20,"Хорошо когда не только халат медицинский, но и врач не халатный.",2024-09-20,"Уважаемый Владимир Карпенко,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клини…",1,0
ghost man,2024-09-20,"Вроде как качественная клиника, судя по ремонту и оборудованию, но встречается откровенный развод. Пришли к гастроэнтерологу после отравления поздно вечером. Выписала шаблонный листочек с анализами крови, биохимией, мочой, УЗИ и сказала сейчас сделать быстрый анализ мочи и УЗИ. Ладно, сделали. Прием 7к, моча с узи -9к. Условно говоря не так дорого как могло быть. Возвращаемся - врач на этот раз еще отмечает галочками кучу прочих анализов крови, дескать не может антибиотик выписать. А это уже по 20к стоит.
Как я это вижу - нам сначала из расчета ""глядите пару анализиков это недорого"" подчеркнули одни анализы, а потом ""о, заплатили? А вот заплатите ка еще"". Это первое. А второй момент - ЗАЧЕМ АНТИБИОТИКИ? Пациент был ПОСЛЕ отравления, после инфекционки (о чем говорили). Мы пришли чтобы нам скорректировали диету и лечение. Но да, давайте сдайте еще кровь, выпишу вам антибиотики, чтобы дисбактериоз никогда не прекращался. Спасибо, не надо.

Отдельный момент - очереди.В регистратуре всего 2 человека, очередь быстрая, так еще и в кассу очередь отдельная и постоянно собирается. Давно уже можно было бы сделать приложение, чтобы пока сидишь в очереди перед врачом мог оплатить все онлайн, а не бегать с 3 этажа на первый без лифта.

Ну и финалочка - надписи на кабинетах.У гастроэнтеролога на 311 нет надписи кто это, только фио врача. И на каждом кабинете постыдный перевод надписей на кабинетах на английский язык. Quartz movement - переводится как ""кварцевое движение""и относится к кварцевым часам, а не к кварцеванию мед кабинетов. 😐",2024-09-20,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",2,0
AIZHAN A,2024-09-20,"Ходила к гинекологу Алие Мукаметкалиевне, прописала хорошее лечение, все прошло на ура! Буду ходить к ней, профессионал своего дела, советую))",2024-09-20,"Уважаемая AIZHANA A,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, ч…",5,1
Дильназ Нуртас,2024-09-19,"Ужасный мед персонал!!! Пришла во второй раз ставить капельницу, молодая медсестра то ли не знает где находится вены, или ей нужно сходить к окулисту, поставила иглу совершенно не туда, сразу же сказала что больно на что она ответила должно пройти через некоторое время, но боль не проходила, и во второй раз позвала ее посмотреть, так она решила на другую руку поставить и чтобы я еще занесла иглу ей новую за ее же ошибку. Куда смотрите когда набираете сотрудников?",2024-09-19,"Уважаемая Дильназ Нуртас,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Sagat S,2024-09-19,"1) Сдавал анализы, отношение персонала к пациентам как к маникенам, с первого раза не смогли взять анализ крови, якобы вену не смогла поймать, тупо бросила и ушла, сказала я не могу!
2) Ходил на процедуры, система и уколы, один из уколов не размешали, медсестра открыла 1-ю ампулу с жидкостью набрала ее и поставила, а я узнал об этом когда пошел в другую процедурную.",2024-09-19,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Карлыгаш Алмаханова,2024-09-19,"Хорошая клиника, спасибо Агмановой Бибигуль Сериковне,отличный врач. НО, есть большое НО, хотела что нибудь купить перекусить ребенку, и возле раковины где миллионы людей в день моют руки, лежали продукты. Вот такая картина, полная антисанитария.",,,4,1
Асель Бекжигиткызы,2024-09-18,"Эмирмед клиникасына алғысымды білдіргім келіп отыр. Біріншіден: түнгі уақытта да жұмыс жасап тұрғаны үшін!
Жолдасымның түнде іші, бүйрегі ауырып, қайда барамыз деп іздегенде Эмирмедті таптық. Түнде бардық. Узи өттік. Узист дәрігер Эльмира Сапарбаевнаға рахмет, түгел қарап, острый ештеңе жоқ екенін айтты.
Таңертең келіп анализдер тапсырып, Фгдс өту керек екенін де айтты.
Таңертең ашқарынға келіп Фгдс өттік.
Ғани Бекболатұлы, анестезиолог апай Гульназ Советбековнаға, медсестра Шахи, медбрат Жаксыбайға үлкен рахмет. Бірлесіп жолдасыма наркозбен Фгдсті тез, ауру сезімсіз жасап берді. Жолдасым тез оянды. Ол арада анализдері де дайын болды. Гастроэнтеролог Санат Серикказиевич түгел қарап назначениесін жазып берді. Енді осы клиникада наблюдениеде боламыз деп шештік.
Диагноз тез қойылды. Емді бүгін уже бастап кеттік. Барлығы үшін тағы да Эмирмед клиникасына үлкен рахмет айтамыз!!!
Мен өзіме гинекологқа қаралу керек. Осында келіп қараламын👍🏻",2024-09-18,"Құрметті Пациент,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емхана…",5,1
Baukadac F,2024-09-18,Флюру быстро сделали.,2024-09-18,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Рамазан Агубаев,2024-09-18,"Не советую, пустая трата денег.
Назначили анализы для чека, совсем не относящиеся к болезни. Диагноз не правильный.
Дерматолог не компетентен.",2024-09-18,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Даке Даке,2024-09-18,"Нуризат Абдинурова өте керемет врач мамолог, лечениеміз біткен соңда хабарласып қал жағдайымызды сурап турды. Лимфодренажный массажданда улучшение алдым . Рахмет улкен, денсаулығымызды сеніп тапсыратын дәрігер болғаныныз ушін",2024-09-18,"Құрметті Пациент,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емхана…",5,1
Садык Айдана,2024-09-17,"15.09.2024 жылы менің жолдасым ішінің ауырып, тамақ қорытылмай, ішінде бір ауыр нәрсе тұрғандай болып тұрғаны туралы шағыммен дәрігер гастроэнтерологқа барады. Дәрігер қарайды, узи, анализге жібереді, оған “хронический поверхности гастрит» диагноз қойылады. Назначение жасап береді, сол бойынша біз аламыз, дереу сол куні қабылдап бастадық, жеңілдік сезінбеді, одан ары артты ауырғаны, бір уақытта приступ ұстап, жедел-жәрдем шақырдық, экстренно түрде ота жасалды, аппендицит жарылып , ішек-құрлыстың барлығын гной басып , өте күрделі ота болды.Ендігі жағдайы тек Алланың қолында!
Менің айтайын дегенім, біз сеніп барып қаралып отырған дәрігердің соншалықты өз жұмысына немқұрайлы қарауы, адам ауырып келіп тұр, сонда осмотрға жазған “ живот мягкий, безболезненный ” -деп, сонда қарамағанда дайын шаблонмен жаза салған.
Біз денсаулығымызды сеніп сол кісілерге барамыз ақылы түрге, ал олар бізге осындай жағдай жасап береді.Менің жазып тұрған мақсатым, осындай жағдайға түсіп қалмаса екен деп басқа адамдар. Ақша жасау үшін ғана отыр болды, адам денсаулығы оларға бәрі бір соны түсіндім.",2024-09-17,"Құрметті Пациент,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтамағаны…",1,0
Ботагоз Тасымова,2024-09-17,"Провели тут лечение Зубов сыну под седацией, большое спасибо врачу Алтынай Кайсаровне и анестезиологу, все прошло легко и быстро 👍 сын отошел от седации быстро и после мы даже не давали обезболивающее, сын вечером уже был как всегда активным и веселым 💕",2024-09-17,"Уважаемая Ботагоз Тасымова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Aruzhan Sovetkalieva,2024-09-17,"Маммолог Исатаева Нуризат Абдинуровнада болдым. Оз исинин маманы. Оте жаксы карады, тусиндирди, корсетти. Рахмеет улкен) Алла разы болсын",2024-09-17,"Құрметті Пациент,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емхана…",5,1
Apple User,2024-09-17,"Ровно неделю назад сдавала кровь , синяк ! Неопытные не советую задавать кровь и терапевт не упытная",2024-09-17,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Махамбет Коненов,2024-09-16,запись не действует внутри живая очередь это просто ужас,2024-09-16,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Арман Курманай,2024-09-16,"Платишь семь тысяч за прием человека который не слушает и не слышит, пытается приписать дополнительные не нужные анализы и прочее, чтобы побольше денег вытащить",2024-09-16,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Gulnur Tatim,2024-09-16,"Инфекционист Амирханова Бопеш Адиловна жауапкершілігі жоқ, алжып калган кемпір, барып кажеті жок!
Анам суббота куні анализдің корытындысымен инфекционистке барды, бирак ол анамның баска ауруын тексерип узи-га, и баска даригерге жиберген, одан скорыймен 103-ке салып жиберген!
Инфекционист ретінде ауруга ем жазып берудің орнына, ар жерге бир жиберген!
Рецепті бойынша системасы букил Казакстанда жок, оны 3 кун издеп таппадык, и кол центрга звондап врачтың номерін сурасак, чтобы дарінің аналогін сурау ушін, бермеді, врач өзі кері байланыска шыгады деп 2 кун куттік, шыкпады, тук жауапкершілік жок, колл центрде дурыс жумыс истемейді! Звондаган сайын одно и то же кайталап сурап, проблемаңды шешпейді! Ақыры бир аягы журе алмай журген анам ақсаңдап сол врачты іздеп клиникага кайта барды!!!
Эмирмедке суббота куні жылдам ем кабылдау ушін бардык, понедельникті кутпей!
Сонда боска уакытымыз, каншама акшамыз кетті! Понедельник куні баска жакка білікті дарігерге баратын едік!!!
Инфекционисті алжыган кемпір, оз жумысын дурыс билмейтін, несоветую! Жалпы Эмирмедке енді бармаспыз! Клиентпен дурыс жумыс жасауды билмейді! Сені емдеу емес, Тек ақшаны сору, ол жақта отқан врачтардың мақсаты!!!😠😑",2024-09-16,"Құрметті Пациент,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтамағаны…",1,0
Аружан Куанышкызы,2024-09-16,"Слышала только хорошие отзывы об этом мед центре. Была огромной ошибкой что пришла сюда, обслуживание конечно на высшем уровне, быстро обслужили. Но мед сестра вообще не умеет ставить систему, обе руки мне все выколола, и все шипит",2024-09-16,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Акбота Кулбаева,2024-09-16,"Узбеков Зафар Исламханович лор врач очень грамотный,все очень понятно обьяснил. Спасибо👍👍👍Калиева Назигул Сагындыковна,ужасный врач,пропускает без очереди игнорирую очередь. Еще и не умолкая стоит и ругается. Никому не посоветовала бы.",2024-09-16,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Anonymous Anonymus,2024-09-15,"Наблюдался у терапевта Атыраубаевой Айсулу, дала хорошие назначения с учетом того, что на анализы и рентген у меня денег не было. Лечение помогло. Большое спасибо!",2024-09-15,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Unknown Unknown,2024-09-15,"Стоимость аллергопробы 13 000, вы че не в себе там? ￼да ещё и препарат нужно иметь с собой и готовность в течение двух дней! В других клиниках за 8000 делают экспресс за 2 часа. Просто шок в шоке.",2024-09-15,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Асем Жанет,2024-09-14,Неудобно расположено кабинеты !,2024-09-14,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",3,0
Даулет Рымбай,2024-09-14,Лучше не идти,2024-09-14,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Ваш Клиент,2024-09-13,"Рекомендую Асель Сагатовну, дерматолог, прохожу у неё лечение, есть результаты

А так же инфекционниста Амирхановну Болеш Адиловну, человек с большим стажем",2024-09-13,"Уважаемый Ваш клиент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Арайлым Абдиева,2024-09-13,"Жакашбаева Алия Мукаметкалиқызы өте сондай білімді, бәрін түсінікті түсіндіреді.Ең мықты маман🫶🏻",2024-09-13,"Құрметті Пациент,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біздің емхана…",5,1
Кирилл Королев,2024-09-13,"Вау. Хирург не опытный от слова совсем. На кассе лишь бы денег содрать. Сказал мне нужно рентген. Отправили к хирургу за доп плату, хирург отправил на рентген за бешенные деньги. Не советую
Так еще и иин перепутали на справках",2024-09-13,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
Gulmira Kalzhanova,2024-09-12,"Спасибо маммологу Исатаевой Нурзат! Прекрасный специалист, профессионал своего дела. Огромная благодарность всей клинике Эмирмед. Клиника чистая. Уютная, расположение очень удобное",2024-09-12,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Сильвия Сильвия,2024-09-12,"Все молодые и пофигистичные специалисты!Не рекомендую! Толком ничего не знают,просто отсебятина!
Не рекомендую
Не рекомендую
Не рекомендую
Зря потраченное время и огромная сумма денег!!!",2024-09-12,"Уважаемый Пациент,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не опра…",1,0
la-leona,2024-09-12,"Я октрыла для себя новый вид сервиса.
На прием к врачу можно прийти в любое время суток..и недалеко от дома. У вас крутая концепция.
Я по природе жаворонок. И мне очень трудно что до 7 часов утра ничего почти не работает. А теперь утро можно использовать с пользой. Сходить к врачу если нужно. Еще у вас можно пройти почти все виды обследования даже ночью

У меня была проблема и она решена. Спасибо вашим врачам.",2024-09-12,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Арман Салитов,2024-09-11,"Хочу выразить огромную благодарность врачу высшей категории Байгуловой Гульжахан Шайзадаевне, за оперативность выявления моей болезни и быстроту лечения. Хочу выразить благодарность в целом медицинскому центру, за помощь в лечении и получении всех видов анализов. Удобно то !!! Что не стоишь в очереди
Ставлю 5 баллов👍👍👍",2024-09-11,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Анастасия Соловьева,2024-09-11,Терапевт 305 кричит на пациентов говорит что ей нечего не будет. хамское отношение. не советую. за свои деньги ещё такое отношение. больше не приду. руководство когда я писала жалобу даже не извенилось. примите к сведенью,2024-09-11,"Уважаемая Анастасия Соловьева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",1,0
Ivan 1,2024-09-11,"Пишу отзыв по своей инициативе, Махаррамов Азиз Адилович отличный специалист. Детально провел диагностику ребенку. Был вежливым и добрым по отношению с ребенком. Результаты объяснил понятным языком. Спасибо ему большое!",2024-09-11,"Уважаемый Пациент,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Madi Daliyev,2024-09-10,"Стоит ходить просто для того чтобы сдать анализы и сделать рентген, если не хотите быть ""раскрученными"" на деньги.",2024-09-10,"Уважаемый Madi Daliyev,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не…",3,0
Aizada Sadykbek,2024-09-10,Врачь гинеколог Жакашбаева Алия Мукаметкалиевна вызвала впечатление опытного врача. Рекомендую! Оправдает своё звание врача-гинеколога высшей категории. Выражаю благодарность.,2024-09-10,"Уважаемая Aizada Sadykbek,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень р…",5,1
Tanya Baron,2024-09-10,"В самой клинике чисто, уютно. Вежливый персонал , я постоянный пациент. Хотелось выразить благодарность врачу мамологу Нуризат Абдинуровне за ее профессионализм и индивидуальный подход к пациентам. Сразу видно человек любит свою работу и выполняет ее качественно желаю успехов и процветания 🎉💐",2024-09-10,"Уважаемая Tanya Baron,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Elmira Bekesheva,2024-09-09,"Очень хорошая клиника в мкн 8, 58А. Отзывчивый персонал, у меня больше месяца был непонятный кашель, спасибо ЛОР Паримбек Сагыныш Куатович, назначил лечение, граммотно проконсультировал, еще и вне рабочего времени по ватсап сопровождал, лечение пошло на пользу. Всем крепкого здоровья!",2024-09-09,"Уважаемая Elmira Bekesheva,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Charley Brown,2024-09-09,"Обратился в клинику к урологу, были некоторые траблы 🤭 Проходил месяц лечения у Аслана Сериковича. Хочу выразить огромную благодарность врачу, так как его методика лечения помогла мне и принесла быстрые результаты. Побольше бы таких профессионалов 👍",2024-09-09,"Уважаемый Charley Brown,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Azaliya kkk,2024-09-09,"Доброго времени суток, хотела оставить отзыв о Алие Мухаметкаливне. Отдельное спасибо ей, девочки всем советую именно ее, хорошо знает свою работу, быстро решает все вопросы, сразу видно высококвалифицированный специалист своего дела. Не пожалела что записалась именно к ней.",2024-09-09,"Уважаемая Azaliya KKK,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Куат Бекмухабетов,2024-09-09,Неприлично дорого,2024-09-09,"Уважаемый Куат Бекмухабетов,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клини…",2,0
Diana Momunova,2024-09-09,"Лор работала без перчаток, обработала горло пациентке потом помыла руки и обработала горло мне)
достала из стерилизатора ножницы , воспользовалась и положила обратно. Больше не приду .",2024-09-09,"Уважаемая Diana Momunova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы очень ценим обратную связь и всегда стремимся к тому, чтобы нашим пациентам оказали помощь на высоком уровне.

Ваше замечание будет обязательно передано администрации клиники для детального анализа.
Мы будем признательны, если вы оставите Ваш контактный номер и ФИО, чтобы мы могли лучше понять вашу проблему и исправить ситуацию.
С уважением, администратор Клиники.",2,0
Ида Хохлова,2024-09-07,"Была у нескольких врачей😊
Все приветливые и дружелюбные, доступно объясняют, прекрасные специалисты.

Маммолог- Исатаева Нуризат, шикарная, очень компетентная, все досконально объяснила, не было напряжения, мне было спокойно и приятно на приеме у данного врача ❤️

Кардиолог- Оралова Макпал, очень располагает к себе, ответила на все вопросы, была обходительна и очень приветлива. Свое дело знает прекрасно 🥰

Сосудистый хирург- Сбоева Вероника, приятная девушка, проконсультировала и объяснила всё тонкости, ответила на миллион моих вопросов, видно, компетентный врач 😍

УЗИ специалист, быстро справилась с поставленной задачей, я довольная ☺️

Выражаю благодарность специалистам за их труд и доброжелательность 🤗",2024-09-07,"Уважаемая Ида Хохлова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Aigera Berakhynova,2024-09-07,Дарыгер маммолог Исатаева Нуризат Абдинуровнага каралдым барын маган тусындырды прям оз ысынын маманы екен риза болдым осындай дарыгерлер коп болса екен рахмет коп Алла разы болсын))),2024-09-07,"Құрметті Айгера Берахынова,
Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Gulzhan Issatova,2024-09-07,"Нуризат Абдинуровна, классный врач маммолог. Очень грамотная, вежливая. Все досконально проверила, объяснила подробно как лечить болезнь, назначила лечение. Особенный подход подциенту",2024-09-07,"Уважаемая Gulzhan Issatova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Gulzhakhan Kumekova,2024-09-06,"Была у стоматолога, не понравилось. Стерильность не очень 🥺",2024-09-06,"Уважаемая Gulzhakhan Kumekova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",1,0
Тимур Набиев,2024-09-06,"Хочу отметить были не давно с тяжелой травмой фейса ,травматолог Врач Исмаил нас поразил своим позитивом и обходительностью,огромное ему спасибо что поддержад поднял настроение ведь не каждый врач может всю ночь быть таким классным и честным с каждым пациентом ! Он действительно профессионал своего дела !успеха и здоровье ему ! От Тимура !",2024-09-06,"Уважаемый Тимур Набиев,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Ольга Узбаханова,2024-09-06,"нЕЧЕСТНЫЕ МЕДСЕСТРЫ-КАК ПОПАЛО СТАВИЛИ УКОЛЫ-ВСЕ РУКИ В СИНЯКАХ, ЕЩЕ НЕПРАВИЛЬНО СДЕЛАЛА ПРОБУ НА АНТИБИОТИК, ПОКАЗАЛ-АЛЛЕРГИЮ, ПОТОМ Я ПРАВИЛЬНУЮ ПРОБУ СДЕЛАЛА- И НИКАКОЙ РЕАКЦИИ НЕ БЫЛО! еЩЕ УКРАЛА ДОРОГОЙ АНТИБИОТИК У МЕНЯ - 2 Г-8000 Т, А САМА БЫСТРО ВВЕЛА КАКУЮ -ТО ЖИДКОСТЬ В ВЕНУ, ХОТЯ АНТИБИОТИК РАНЕЕ ЕЮ ЖЕ ВВОДИЛСЯ ВНУТРИ МЫШЕЧНО, ПОСЛЕ ВВЕДЕНИЯ ЖИДКОСТИ В ВЕНУ- Я ПОТЕРЯЛА СОЗНАНИЕ , С ПОМОЩЬЮ НАШАТЫРНОГО СПИРТА МЕНЯ ПРИВЕЛИ В СОЗНАНИЕ! мЕДСЕСТРЫ РАБОТАЮТ СУТКАМИ -НОЧЬЮ ПРИХОДИЛА-ОНИ БЫЛИ КАК ЗОМБИ, ПООЧЕРЕДНО РАБОТАЛИ -ОДНА ТУТ ЖЕ НА КУШЕТКЕ СПАЛА- ЭТО ЖЕ НЕРЕАЛЬНО -24Ч НА НОГАХ БЕГАТЬ И УКОЛЫ СТАВИТЬ! ВРАЧИ ТОЖЕ НЕДАЛЕКО УШЛИ - ЛИБО ОНИ В СГОВОРЕ С МЕДСЕСТРАМИ - ОНА ДЕЛАЕТ НЕПРАВИЛЬНУЮ ПРОБУ, ОН НАЗНАЧАЕТ ДОРОГОЙ АНТИБИОТИК 2Г-8000 Т, ФАРМАЦЕВТ СПРОСИЛ - ВЫ СЕБЕ ? ОН ВАМ НЕ ПОМОЖЕТ! НЕ ПОМОГЛО ЛЕЧЕНИЕ ВООБЩЕ! ОНИ ТОЛЬКО ПРО СВОЙ ПЛАН ДУМАЮТ - ОКАЗАТЬ УСЛУГ НА МИЛЛИОН, ЧЕСТНЫЕ И ПОРЯДОЧНЫЕ ВРАЧИ УХОДЯТ, ОСТАЮТСЯ МОЛОДЫЕ, БЕЗПРИНЦИПНЫЕ, КОТОРЫМ ПЛЕВАТЬ НА ЗДОРОВЬЕ ПАЦИЕНТОВ! НИКОМУ НЕ СОВЕТУЮ, БЕГИТЕ ИЗ ЭТОЙ ПСЕВДО КЛИНИКИ!Узбаханова Ч.А. 87016840566",2024-09-06,"Уважаемая Ольга Узбаханова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клиник…",1,0
Януш Зацаринский,2024-09-06,"Приятное оттношенрие сотрудников. Рентген сделали очень быстро, получил описание за 10 минут, были вопросы по снику все объяснили. Спасибо большое.",2024-09-06,"Уважаемый Януш Зацаринский,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Vip Vop,2024-09-05,"Не болейте, это дорого",2024-09-05,"Уважаемый Vip Vop,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
Violeta Serikova,2024-09-04,"Сдала анализы на 40.000 , они мне их прислали , там не понятно , прошу расшифровать, они говорят нужно прийти к врачу , вы что , прикалываетесь или что",2024-09-04,"Уважаемая Violeta Serikova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клиник…",1,0
А Б,2024-09-04,"Самая ужасная клиника!!!Вообще не умеют лечить и ставить диагнозы!Не говорят точности,относятся к пациентам халатностью!Я обратилась к гинекологу,такая грубая!Вроде я пришла лечиться а она мне комментирует мою болезнь якобы «Ужаааас».Так стало неприятно!Больше ни ногой!",2024-09-04,"Уважаемая А Б,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал…",1,0
Tatiana Ivanova,2024-09-04,Две недели назад сдала анализы. Где результаты моих анализов?,2024-09-04,"Уважаемая Tatiana Ivanova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Арайка Мухтар,2024-09-04,"Нуризат Абдинуровна хочу вас поблагодарить за вашу помощь
врач маммолог!
очень хорошо объяснила нам)",2024-09-04,"Уважаемая Арайка Мухтар,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
Еркежан Килыбай,2024-09-04,"Была на приеме у врача-маммолога Исатаевой Нуризат Абдинуровны, все хорошо, понятным языком объяснила, помогла решить все вопросы. Огромная благодарность!",2024-09-04,"Уважаемая Еркежан Килыбай,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень р…",5,1
Темарт Ятретий,2024-09-02,"Асель Сагатовна отличный врач все четко и ясно объясняет , великолепный врач всех ы таких👍",2024-09-02,"Уважаемая Темарт Ятретий,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень ра…",5,1
Parha Yu,2024-09-02,"Был в данной клинике, людей больше чем в поликлиники наверное из за того что тут хорошие врачи, но не жалею за потраченное время записали к травматологу Шавкату Ильясовичу, врач оказался грамотным и хорошим человеком все объяснил и загипсовал руку гипс стоит как родной",2024-09-02,"Уважаемая Parha Yu,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, чт…",5,1
Алина Биггер,2024-09-01,"Лучшее место
Супер быстро
Не дорого
Специалисты хорошие
В клинике чисто
Персонал 👍🏻

Спасибо за такой сервис !",2024-09-01,"Уважаемая Алина Биггер ,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
